,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
53,0.0,54,Fri Jan 12 05:48:38 +0000 2018,0.0,1.0,0.0,951692374551429120,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
54,0.0,55,Fri Jan 12 05:48:14 +0000 2018,0.0,1.0,0.0,951692274651430912,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
55,0.0,56,Fri Jan 12 05:47:26 +0000 2018,0.0,1.0,0.0,951692073442402305,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
56,0.0,57,Fri Jan 12 05:47:02 +0000 2018,0.0,1.0,0.0,951691974247092224,First #FF @DISupdates @bensherwood @lightninglady36 @tinastullracing @nbcsnl @Turner @sakleinsmith @Smashburger @CBS @MRichTV @BoozedUpBBQ
57,0.0,58,Fri Jan 12 05:46:52 +0000 2018,0.0,1.0,0.0,951691930743836672,RT @HisPanicforUS: @SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC @CBS @CB…
58,0.658,59,Fri Jan 12 05:46:49 +0000 2018,0.0,0.846,0.154,951691917791707136,RT @EmilyTyra: Hello you lovely @CodeBlackCBS fans. It's the moment you've all been waiting for...!! SEE YOU MAY 2ND AT 10/9c on @CBS. ?? #…
59,-0.5122,60,Fri Jan 12 05:46:28 +0000 2018,0.202,0.798,0.0,951691831888068610,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews no I'm not promoting my twitter page or anything..I just fi… https://t.co/75rIVdqL7k
60,0.0,61,Fri Jan 12 05:46:18 +0000 2018,0.0,1.0,0.0,951691790003900416,@SeanTDel @rejialex7 @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @nbc @NBCNews @MSNBC… https://t.co/YpCatLvX8o
61,-0.34,62,Fri Jan 12 05:46:02 +0000 2018,0.146,0.854,0.0,951691722454634496,@RattlesnakeX @realDonaldTrump @foxandfriends @LouDobbs @DRUDGE @CBS @NBCNews @FoxNews @CNN They go crazy because h… https://t.co/7GP5LT5bW3
62,0.0,63,Fri Jan 12 05:45:27 +0000 2018,0.0,1.0,0.0,951691572936093697,RT @SeanTDel: @andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @NBC @NBCNews @MSNBC @CBS @CBSNews @nytimes @washington…
63,0.0,64,Fri Jan 12 05:44:58 +0000 2018,0.0,1.0,0.0,951691452148482048,@andersoncooper @donlemon @Acosta @CNN @CNNPolitics @ABC @ABCPolitics @NBC @NBCNews @MSNBC @CBS @CBSNews @nytimes… https://t.co/zjRoMJPdWJ
64,0.0,65,Fri Jan 12 05:44:32 +0000 2018,0.0,1.0,0.0,951691344459673600,@MSNBC @NBCNews @CBS @ABC @CNN @HuffPost @washingtonpost @nytimes @BostonGlobe @latimes @NPR https://t.co/gfR1bSM4TH
65,0.0,66,Fri Jan 12 05:43:32 +0000 2018,0.0,1.0,0.0,951691093527031814,#WeWantEyewitnessSeason2 @netflix @amazon @PrimeVideo @heretv @Showtime @STARZ @showcasedotca @XFINITY @TBSNetwork @hulu @twxcorp @CBS
66,0.3744,67,Fri Jan 12 05:42:39 +0000 2018,0.0,0.778,0.222,951690869505175552,@CBS Can any Star Trek series really be called original?
67,0.4404,68,Fri Jan 12 05:42:17 +0000 2018,0.0,0.884,0.116,951690778274746368,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews pro pic is of one of my fave bass players &amp; he follows me b… https://t.co/PyNdnFbeOU
68,0.6249,69,Fri Jan 12 05:39:54 +0000 2018,0.0,0.823,0.177,951690178195787776,@abc @nbc @CBS #tcpot #ccot #LNYHBT  THIS should have been a great news story - still can&gt; Chicago cops deliver bab… https://t.co/waFrjdwdPt
69,-0.2263,70,Fri Jan 12 05:39:00 +0000 2018,0.203,0.675,0.122,951689949832732674,"RT @CBS: Stream Star Trek: Discovery, The Good Fight and No Activity only on CBS All Access. https://t.co/1pquVdlb53 https://t.co/SUPhwd74mV"
70,0.7592,71,Fri Jan 12 05:38:58 +0000 2018,0.0,0.755,0.245,951689942941364224,RT @SEALTeamBrigade: I LOVE this picture of @TylerAresGrey @AjohnBuckley and Dan Briggs!   #sealteam! Catch them on @cbs Wednesday’s 9/8C.…
71,0.0,72,Fri Jan 12 05:38:28 +0000 2018,0.0,1.0,0.0,951689816244187136,@Logic_Triumphs @PressSec @CNN @MSNBC @maddow @ABC @CBS @nbc @washingtonpost @nytimes @Acosta The press should collude
72,0.0,73,Fri Jan 12 05:38:03 +0000 2018,0.0,1.0,0.0,951689713861185537,"@raelDunaldTramp @CBS Seth Meyers got away with ""asshole"" several times last night, I think! SOME word that CBS, ev… https://t.co/e5Lywexj3U"
73,0.6369,74,Fri Jan 12 05:37:47 +0000 2018,0.0,0.682,0.318,951689646756347904,I love that. Did you guys @fbi watch S.W.A.T @cbs? https://t.co/tpwm8gXA4t
74,0.0,75,Fri Jan 12 05:37:24 +0000 2018,0.0,1.0,0.0,951689549549318144,RT @orangedouche: @Shareblue @LisaBloom @realDonaldTrump @SenateMajLdr @SpeakerRyan @SenateDems @SenateGOP @CNN @ABC @CBS @nbc @nytimes @MS…
75,0.7592,76,Fri Jan 12 05:36:50 +0000 2018,0.0,0.755,0.245,951689406246805504,RT @SEALTeamBrigade: I LOVE this picture of @TylerAresGrey @AjohnBuckley and Dan Briggs!   #sealteam! Catch them on @cbs Wednesday’s 9/8C.…
76,0.743,77,Fri Jan 12 05:36:21 +0000 2018,0.0,0.657,0.343,951689283630280704,I am ready for @ashleyn1cole 's show please thank you @TBSNetwork @hbo @ComedyCentral @nbc @CBS @ABCNetwork @CNN… https://t.co/ZuyLCg2M26
77,0.0,78,Fri Jan 12 05:36:00 +0000 2018,0.0,1.0,0.0,951689196883804160,"RT @ExDemLatina: This is a shithole @CNN @MSNBC @ABC @CBS  @nytimes @washingtonpost 

Cover this ?? https://t.co/qIxfoRsqPS"
78,0.0,79,Fri Jan 12 05:35:08 +0000 2018,0.0,1.0,0.0,951688976334811142,@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews The only thing that surpasses your unauthentic approach us t… https://t.co/jXdPh0CXgf
79,0.0,80,Fri Jan 12 05:35:07 +0000 2018,0.0,1.0,0.0,951688971679031296,"@TplusZero $XRP
#MoneyGram
#SBI
Expect the unexpected 2+ more 
Possible #World Remit #WU #Paypal
#TransferWise 
Too… https://t.co/CYREziivIw"
80,0.4404,81,Fri Jan 12 05:34:49 +0000 2018,0.0,0.828,0.172,951688899826298880,"Hey @zdmann .. We is back. Appearing knightly @cbs #marketing y9rs truly, @pacalvoltan #swak https://t.co/8nkpYi5nY1"
81,0.0,82,Fri Jan 12 05:33:44 +0000 2018,0.0,1.0,0.0,951688625523052544,@CBS Garbage.
82,0.0,83,Fri Jan 12 05:32:46 +0000 2018,0.0,1.0,0.0,951688383213879297,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews And there it is...just talk. in order to  invest means to h… https://t.co/Mr1zPzpRub
83,0.0,84,Fri Jan 12 05:32:28 +0000 2018,0.0,1.0,0.0,951688306521067520,RT @HunterHaleyKing: Just a bunch of couch potatoes?? #LifeInPieces tonight at 9:30/8:30c on @CBS @LifeInPiecesCBS https://t.co/jknk9Eus54
84,0.0,85,Fri Jan 12 05:32:24 +0000 2018,0.0,1.0,0.0,951688288213094400,"RT @ExDemLatina: This is a shithole @CNN @MSNBC @ABC @CBS  @nytimes @washingtonpost 

Cover this ?? https://t.co/qIxfoRsqPS"
85,0.0,86,Fri Jan 12 05:32:20 +0000 2018,0.0,1.0,0.0,951688271221977088,"RT @ExDemLatina: This is a shithole @CNN @MSNBC @ABC @CBS  @nytimes @washingtonpost 

Cover this ?? https://t.co/qIxfoRsqPS"
86,0.0951,87,Fri Jan 12 05:32:05 +0000 2018,0.106,0.764,0.13,951688209980833793,"@CBS Don't bother, the show isn't worth the cost of a fancy cup of coffee."
87,-0.3612,88,Fri Jan 12 05:30:22 +0000 2018,0.556,0.444,0.0,951687779725004800,@CBS Show sucks
88,0.0,89,Fri Jan 12 05:28:48 +0000 2018,0.0,1.0,0.0,951687385787478016,RT @CBS: ? Stream Star Trek: Discovery now &amp; watch new episodes Sundays. https://t.co/C2vgoKTNfc
89,-0.5574,90,Fri Jan 12 05:28:08 +0000 2018,0.175,0.825,0.0,951687217080135681,@Anncostanza1 @enoughalready16 Bill and #Hillary Clinton helped to turn Haiti into a shit hole when they withheld t… https://t.co/Xh7zQ7rqn4
90,0.0,91,Fri Jan 12 05:25:45 +0000 2018,0.0,1.0,0.0,951686617550524416,"RT @EddieMcClintock: This Friday on @CBS, my episode of @MacGyverCBS, ""CO2 Sensor &amp; Tree Branch,"" airs.

I'm a somebody! https://t.co/ROzOM…"
91,-0.7777,92,Fri Jan 12 05:25:41 +0000 2018,0.404,0.596,0.0,951686601620389888,@washingtonpost ..because: #FakeNews media wants @realDonaldTrump 2 lose next Election;&amp; ruin USA!@RandPaul@CBNNews@WSJ@Franklin_Graham @CBS
92,-0.2755,93,Fri Jan 12 05:25:26 +0000 2018,0.117,0.883,0.0,951686536004747264,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews nope...you don't like that I called you on your statements… https://t.co/LOsr1RpgiR
93,-0.0516,94,Fri Jan 12 05:24:34 +0000 2018,0.059,0.941,0.0,951686319331164160,"RT @Shauna33R: @RealJamesWoods @jack @POTUS Can SWITCH to @getongab ALL Will Leave @Twitter-FollowU
@ABC @CBS @CNN @MSNBC @nbc @latimes @ny…"
94,0.0,95,Fri Jan 12 05:23:47 +0000 2018,0.0,1.0,0.0,951686123373387776,@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews Man I don’t have time to investigate you?
95,-0.296,96,Fri Jan 12 05:22:58 +0000 2018,0.084,0.916,0.0,951685915457478656,RT @hollingsworthb: How long can you hold your breath for? NEW SEASON of #CodeBlack RETURNS May 2nd @10pm on @CBS ... Now go. No breathing…
96,-0.3612,97,Fri Jan 12 05:21:41 +0000 2018,0.152,0.759,0.089,951685595016941568,"@mooncove @CBS Well, you’re not actually allowed to say shit on CBS, since it’s a broadcast network, on cable it’s… https://t.co/OURHqcx0h5"
97,0.0,98,Fri Jan 12 05:21:17 +0000 2018,0.0,1.0,0.0,951685491522351104,@BeatzCross @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews oh...&amp; if you're look at my profile pic or the a few listed… https://t.co/0MO0sCEUm4
98,0.4939,99,Fri Jan 12 05:21:15 +0000 2018,0.0,0.792,0.208,951685483700129792,"@bittybyte @DailyCaller @ABC @CBS @nbc @MSNBC @FoxNews Who are you? I must admit you’re determined. You’re phony, p… https://t.co/6oliMEQqBi"
99,0.6037,100,Fri Jan 12 05:20:24 +0000 2018,0.0,0.812,0.188,951685270352617472,@TuckerCarlson @MSNBC @CNN @ABC @CBS @nbc @SenateDems @realDonaldTrump @POTUS We are TAKING CARE OF too many people… https://t.co/dDCyB3NpNp
